user_id,hist_item_id,hist_title,hist_genres,pred_item_id,pred_title,pred_genres
57959801,tt15671028,No Hard Feelings,"""Comedy / Romance""",tt11358390,Renfield,"""Comedy / Fantasy / Horror"""
,tt9114286,Black Panther: Wakanda Forever,"""Action / Adventure / Drama / Sci-Fi""",tt9362722,Spider-Man: Across the Spider-Verse,"""Animation / Action / Adventure / Fantasy / Sci-Fi"""
,tt8752474,Justice League vs. the Fatal Five,"""Animation / Action / Fantasy / Sci-Fi""",tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi"""
,tt11358390,Renfield,"""Comedy / Fantasy / Horror""",tt15671028,No Hard Feelings,"""Comedy / Romance"""
,tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi""",tt5971474,The Little Mermaid,"""Adventure / Family / Fantasy / Musical / Romance"""
,tt5971474,The Little Mermaid,"""Adventure / Family / Fantasy / Musical / Romance""",tt5090568,Transformers: Rise of the Beasts,"""Action / Adventure / Sci-Fi"""
,tt9362722,Spider-Man: Across the Spider-Verse,"""Animation / Action / Adventure / Fantasy / Sci-Fi""",tt6791350,Guardians of the Galaxy Vol. 3,"""Action / Adventure / Comedy / Sci-Fi"""
,,,,tt2906216,Dungeons & Dragons: Honor Among Thieves,"""Action / Adventure / Comedy / Fantasy"""
,,,,tt15789038,Elemental,"""Animation / Adventure / Comedy / Drama / Family / Fantasy / Sci-Fi"""
,,,,tt5433140,Fast X,"""Action / Adventure / Crime / Mystery / Thriller"""
22486001,tt0330373,Harry Potter and the Goblet of Fire,"""Adventure / Family / Fantasy / Mystery""",tt21477618,Mortal Kombat Legends: Snow Blind,"""Animation / Action / Adventure / Drama / Fantasy"""
,tt10364034,"Miraculous: Ladybug & Cat Noir, The Movie","""Animation / Action / Adventure / Comedy / Family / Fantasy / Musical / Romance""",tt13375076,The Pope's Exorcist,"""Horror / Thriller"""
,tt13375076,The Pope's Exorcist,"""Horror / Thriller""",tt10364034,"Miraculous: Ladybug & Cat Noir, The Movie","""Animation / Action / Adventure / Comedy / Family / Fantasy / Musical / Romance"""
,tt15789038,Elemental,"""Animation / Adventure / Comedy / Drama / Family / Fantasy / Sci-Fi""",tt5971474,The Little Mermaid,"""Adventure / Family / Fantasy / Musical / Romance"""
,tt21477618,Mortal Kombat Legends: Snow Blind,"""Animation / Action / Adventure / Drama / Fantasy""",tt15789038,Elemental,"""Animation / Adventure / Comedy / Drama / Family / Fantasy / Sci-Fi"""
,tt5971474,The Little Mermaid,"""Adventure / Family / Fantasy / Musical / Romance""",tt0330373,Harry Potter and the Goblet of Fire,"""Adventure / Family / Fantasy / Mystery"""
,,,,tt13405778,Insidious: The Red Door,"""Horror / Mystery / Thriller"""
,,,,tt9362722,Spider-Man: Across the Spider-Verse,"""Animation / Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt27155038,"Ruby Gillman, Teenage Kraken","""Animation / Action / Adventure / Comedy / Family / Fantasy"""
68724303,tt0117665,Sleepers,"""Crime / Drama / Thriller""",tt0106489,A Bronx Tale,"""Crime / Drama"""
,tt0106489,A Bronx Tale,"""Crime / Drama""",tt4873118,Guy Ritchie's The Covenant,"""Action / Drama / Thriller / War"""
,tt7959026,The Mule,"""Crime / Drama / Thriller""",tt7959026,The Mule,"""Crime / Drama / Thriller"""
,tt4873118,Guy Ritchie's The Covenant,"""Action / Drama / Thriller / War""",tt14846026,Sisu,"""Action / War"""
,,,,tt5761544,Kandahar,"""Action / Thriller"""
,,,,tt16419074,Air,"""Drama / Sport"""
,,,,tt10366206,John Wick: Chapter 4,"""Action / Crime / Thriller"""
,,,,tt10275534,To Catch a Killer,"""Action / Crime / Drama / Mystery / Thriller"""
,,,,tt5433140,Fast X,"""Action / Adventure / Crime / Mystery / Thriller"""
,,,,tt12263384,Extraction 2,"""Action / Thriller"""
73819801,tt6643972,Triple Threat,"""Action / Thriller""",tt14230388,Asteroid City,"""Comedy / Drama / Romance / Sci-Fi"""
,tt14230388,Asteroid City,"""Comedy / Drama / Romance / Sci-Fi""",tt6643972,Triple Threat,"""Action / Thriller"""
,tt6791350,Guardians of the Galaxy Vol. 3,"""Action / Adventure / Comedy / Sci-Fi""",tt6791350,Guardians of the Galaxy Vol. 3,"""Action / Adventure / Comedy / Sci-Fi"""
,,,,tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt5090568,Transformers: Rise of the Beasts,"""Action / Adventure / Sci-Fi"""
,,,,tt6879446,Hidden Strike,"""Action / Adventure / Comedy / Thriller"""
,,,,tt15671028,No Hard Feelings,"""Comedy / Romance"""
,,,,tt5433140,Fast X,"""Action / Adventure / Crime / Mystery / Thriller"""
,,,,tt9362722,Spider-Man: Across the Spider-Verse,"""Animation / Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt12263384,Extraction 2,"""Action / Thriller"""
52159701,tt15721088,High Heat,"""Action / Comedy / Crime""",tt9411972,Where the Crawdads Sing,"""Drama / Mystery / Romance / Thriller"""
,tt6723592,Tenet,"""Action / Sci-Fi / Thriller""",tt4779682,The Meg,"""Action / Horror / Sci-Fi / Thriller"""
,tt9411972,Where the Crawdads Sing,"""Drama / Mystery / Romance / Thriller""",tt9032400,Eternals,"""Action / Adventure / Fantasy / Sci-Fi"""
,tt4779682,The Meg,"""Action / Horror / Sci-Fi / Thriller""",tt4975722,Moonlight,"""Drama"""
,tt4975722,Moonlight,"""Drama""",tt15721088,High Heat,"""Action / Comedy / Crime"""
,tt15771916,You Hurt My Feelings,"""Comedy / Drama""",tt6723592,Tenet,"""Action / Sci-Fi / Thriller"""
,tt9032400,Eternals,"""Action / Adventure / Fantasy / Sci-Fi""",tt6443346,Black Adam,"""Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt4513678,Ghostbusters: Afterlife,"""Adventure / Comedy / Fantasy / Sci-Fi"""
,,,,tt14109724,Ticket to Paradise,"""Comedy / Romance"""
,,,,tt6856242,The King's Man,"""Action / Adventure / Thriller"""
16889401,tt9411972,Where the Crawdads Sing,"""Drama / Mystery / Romance / Thriller""",tt4779682,The Meg,"""Action / Horror / Sci-Fi / Thriller"""
,tt1630029,Avatar: The Way of Water,"""Action / Adventure / Fantasy / Sci-Fi""",tt9411972,Where the Crawdads Sing,"""Drama / Mystery / Romance / Thriller"""
,tt5433140,Fast X,"""Action / Adventure / Crime / Mystery / Thriller""",tt1630029,Avatar: The Way of Water,"""Action / Adventure / Fantasy / Sci-Fi"""
,tt15671028,No Hard Feelings,"""Comedy / Romance""",tt5090568,Transformers: Rise of the Beasts,"""Action / Adventure / Sci-Fi"""
,tt15509244,Happiness for Beginners,"""Comedy / Drama / Romance""",tt5433140,Fast X,"""Action / Adventure / Crime / Mystery / Thriller"""
,tt4779682,The Meg,"""Action / Horror / Sci-Fi / Thriller""",tt5971474,The Little Mermaid,"""Adventure / Family / Fantasy / Musical / Romance"""
,tt1714206,The Spectacular Now,"""Drama / Romance""",tt0439572,The Flash,"""Action / Adventure / Fantasy / Sci-Fi"""
,,,,tt14209916,Cocaine Bear,"""Comedy / Thriller"""
,,,,tt6791350,Guardians of the Galaxy Vol. 3,"""Action / Adventure / Comedy / Sci-Fi"""
,,,,tt12261776,65,"""Action / Adventure / Drama / Sci-Fi / Thriller"""
